date,Trade_id,name,trade_type,token,time,exchange,tradingsymbol,quantity,strike_price,market_price,trigger_price,num_sl_hits,status,trns_id,gap,expiry_date,unique_order_id,text,producttype
2024-04-03,_call_SL_0,NIFTY,stoploss_buy,45781,10:05,NFO,,50,2245000.0,137.6,132.6,0,trigger pending,0300028ANKN1226,5000,2024-04-04,0300028ANKN1226,,INTRADAY
2024-04-03,_put_SL_0,NIFTY,stoploss_buy,45780,10:05,NFO,,50,2240000.0,137.6,132.6,0,trigger pending,0300029ANKN1226,5000,2024-04-04,0300029ANKN1226,,INTRADAY
2024-04-03,_call_0,NIFTY,normal_sell,45781,10:10,NFO,,50,2245000.0,62.7,62.7,0,complete,0300030ANKN1226,5000,2024-04-04,0300030ANKN1226,,INTRADAY
2024-04-03,_put_0,NIFTY,normal_sell,45780,10:10,NFO,,50,2240000.0,67.4,67.4,0,complete,0300031ANKN1226,5000,2024-04-04,0300031ANKN1226,,INTRADAY
2024-04-03,_call_SL_0,NIFTY,stoploss_buy,45781,10:10,NFO,,50,2245000.0,135.1,130.1,0,trigger pending,0300032ANKN1226,5000,2024-04-04,0300032ANKN1226,,INTRADAY
2024-04-03,_put_SL_0,NIFTY,stoploss_buy,45780,10:10,NFO,,50,2240000.0,135.1,130.1,0,trigger pending,0300033ANKN1226,5000,2024-04-04,0300033ANKN1226,,INTRADAY
2024-04-03,_call_0,NIFTY,normal_sell,45781,10:15,NFO,,50,2245000.0,63.05,63.05,0,complete,0300034ANKN1226,5000,2024-04-04,0300034ANKN1226,,INTRADAY
2024-04-03,_put_0,NIFTY,normal_sell,45780,10:15,NFO,,50,2240000.0,65.6,65.6,0,trigger pending,0300035ANKN1226,5000,2024-04-04,0300035ANKN1226,,INTRADAY
2024-04-03,_call_SL_0,NIFTY,stoploss_buy,45781,10:15,NFO,,50,2245000.0,133.65,128.65,0,trigger pending,0300036ANKN1226,5000,2024-04-04,0300036ANKN1226,,INTRADAY
2024-04-03,_put_SL_0,NIFTY,stoploss_buy,45780,10:15,NFO,,50,2240000.0,133.65,128.65,0,trigger pending,0300045ANKN1226,5000,2024-04-04,0300045ANKN1226,,INTRADAY
2024-04-03,_call_0,NIFTY,normal_sell,45781,10:20,NFO,,50,2245000.0,63.75,63.75,0,complete,0300046ANKN1226,5000,2024-04-04,0300046ANKN1226,,INTRADAY
2024-04-03,_put_0,NIFTY,normal_sell,45780,10:20,NFO,,50,2240000.0,65.25,65.25,0,trigger pending,0300047ANKN1226,5000,2024-04-04,0300047ANKN1226,,INTRADAY
2024-04-03,_call_SL_0,NIFTY,stoploss_buy,45781,10:20,NFO,,50,2245000.0,134.0,129.0,0,trigger pending,0300048ANKN1226,5000,2024-04-04,0300048ANKN1226,,INTRADAY
2024-04-03,_put_SL_0,NIFTY,stoploss_buy,45780,10:20,NFO,,50,2240000.0,134.0,129.0,0,trigger pending,0300049ANKN1226,5000,2024-04-04,0300049ANKN1226,,INTRADAY
2024-04-03,_call_0,NIFTY,normal_sell,45791,10:25,NFO,,50,2250000.0,49.0,49.0,0,complete,0300051ANKN1226,5000,2024-04-04,0300051ANKN1226,,INTRADAY
